timestamp,elapsed_s,interval_s,dispatched_rps,completed_rps,failed_rps,attempt_rps,in_flight,dispatched_total,completed_total,failed_total,attempts_total
1788891520.9872322,30.051149368286133,1.001072645187378,0.9989285041474916,0.9989285041474916,0.0,0.9989285041474916,4,74,70,0,74
1788891521.9880471,31.051964282989502,1.0008149147033691,1.9983714976837437,1.9983714976837437,0.0,1.9983714976837437,4,76,72,0,76
1788891522.9886413,32.05255842208862,1.000594139099121,1.9988124273850814,1.9988124273850814,0.0,1.9988124273850814,4,78,74,0,78
1788891523.9890687,33.05298590660095,1.000427484512329,0.9995726981525928,0.9995726981525928,0.0,0.9995726981525928,4,79,75,0,79
1788891524.9908433,34.054760456085205,1.001774549484253,3.9929143758536627,3.9929143758536627,0.0,3.9929143758536627,4,83,79,0,83
1788891525.9927802,35.056697368621826,1.001936912536621,0.9980668318410214,0.9980668318410214,0.0,0.9980668318410214,4,84,80,0,84
1788891526.993588,36.05750513076782,1.000807762145996,0.9991928898070654,0.9991928898070654,0.0,0.9991928898070654,4,85,81,0,85
1788891527.9954734,37.05939054489136,1.0018854141235352,2.9943544019197508,2.9943544019197508,0.0,2.9943544019197508,4,88,84,0,88
1788891528.997046,38.06096315383911,1.001572608947754,0.9984298602680378,0.9984298602680378,0.0,0.9984298602680378,4,89,85,0,89
1788891529.9980023,39.06191945075989,1.0009562969207764,3.9961784668372906,3.9961784668372906,0.0,3.9961784668372906,4,93,89,0,93
1788891530.9983823,40.062299489974976,1.000380039215088,1.999240210319698,1.999240210319698,0.0,1.999240210319698,4,95,91,0,95
1788891531.9995625,41.06347966194153,1.0011801719665527,2.9964636575925154,2.9964636575925154,0.0,2.9964636575925154,4,98,94,0,98
1788891533.0009108,42.06482791900635,1.0013482570648193,2.995960674854207,2.995960674854207,0.0,2.995960674854207,4,101,97,0,101
1788891534.0015745,43.065491676330566,1.0006637573242188,1.9986733659146532,0.9993366829573266,0.0,1.9986733659146532,5,103,98,0,103
1788891535.003644,44.06756114959717,1.0020694732666016,0.0,0.0,0.0,0.0,5,103,98,0,103
1788891536.0051298,45.06904697418213,1.001485824584961,0.9985163798143856,0.9985163798143856,0.0,0.9985163798143856,5,104,99,0,104
1788891537.0061002,46.07001733779907,1.0009703636169434,0.9990305770757917,0.9990305770757917,0.0,0.9990305770757917,5,105,100,0,105
1788891538.0073726,47.07128977775574,1.001272439956665,1.997458354178369,1.997458354178369,0.0,1.997458354178369,5,107,102,0,107
1788891539.0080492,48.07196640968323,1.0006766319274902,0.9993238255937016,0.9993238255937016,0.0,0.9993238255937016,5,108,103,0,108
1788891540.0091534,49.07307052612305,1.0011041164398193,1.9977942025775584,1.9977942025775584,0.0,1.9977942025775584,5,110,105,0,110
1788891541.0104916,50.074408769607544,1.001338243484497,1.9973270900353508,1.9973270900353508,0.0,1.9973270900353508,5,112,107,0,112
1788891542.0112333,51.07515048980713,1.000741720199585,1.998517659083031,1.998517659083031,0.0,1.998517659083031,5,114,109,0,114
1788891543.012377,52.07629418373108,1.0011436939239502,2.996572837852674,1.9977152252351158,0.0,2.996572837852674,6,117,111,0,117
1788891544.0144026,53.078319787979126,1.0020256042480469,0.0,0.9979784905301228,0.0,0.0,5,117,112,0,117
1788891545.015934,54.079851150512695,1.0015313625335693,1.9969419579039533,1.9969419579039533,0.0,1.9969419579039533,5,119,114,0,119
1788891546.0165393,55.080456495285034,1.0006053447723389,4.996975107241324,4.996975107241324,0.0,4.996975107241324,5,124,119,0,124
1788891547.0181658,56.082082986831665,1.0016264915466309,2.995128448896796,2.995128448896796,0.0,2.995128448896796,5,127,122,0,127
1788891548.0185828,57.082499980926514,1.0004169940948486,5.997499078300488,5.997499078300488,0.0,5.997499078300488,5,133,128,0,133
1788891549.0200408,58.08395791053772,1.001457929611206,0.9985441928531416,0.9985441928531416,0.0,0.9985441928531416,5,134,129,0,134
1788891550.0209162,59.08483338356018,1.000875473022461,1.9982505855202601,1.9982505855202601,0.0,2.9973758782803905,5,136,131,0,137
1788891551.0221012,60.086018323898315,1.0011849403381348,2.996449386251052,1.997632924167368,0.0,2.996449386251052,6,139,133,0,140
1788891552.0234861,61.087403297424316,1.001384973526001,1.9972338839455033,2.995850825918255,0.0,1.9972338839455033,5,141,136,0,142
1788891553.0240028,62.08791995048523,1.000516653060913,0.0,0.0,0.0,0.0,5,141,136,0,142
1788891554.025768,63.0896852016449,1.001765251159668,0.0,0.0,0.0,0.0,5,141,136,0,142
1788891555.0277643,64.09168148040771,1.0019962787628174,1.9960153968530059,1.9960153968530059,0.0,1.9960153968530059,5,143,138,0,144
1788891556.0304081,65.09432530403137,1.0026438236236572,0.9973631477486171,0.9973631477486171,0.0,0.9973631477486171,5,144,139,0,145
1788891557.0313766,66.09529376029968,1.0009684562683105,2.9970974421953684,2.9970974421953684,0.0,2.9970974421953684,5,147,142,0,148
1788891558.0334308,67.09734797477722,1.002054214477539,0.0,0.0,0.0,0.0,5,147,142,0,148
1788891559.035188,68.0991051197052,1.0017571449279785,1.9964918744290967,1.9964918744290967,0.0,1.9964918744290967,5,149,144,0,150
1788891560.0360959,69.10001301765442,1.0009078979492188,2.997278776745356,2.997278776745356,0.0,2.997278776745356,5,152,147,0,153
