timestamp,node,cpu_pct,pods,
1780892104.7461147,node-2,2.0,"{worker-ca4fde7aa358b20b-59d59c8db6-6mj8z"": 0.2","[' ""worker-6e42a4e8ea1df408-79c6fcc7d-phpkj"": 0.13', ' ""worker-165156b067e9299a-cb9889bb-stzd2"": 0.17', ' ""worker-4fd9ef036fda3832-5b98bfc558-zxlwm"": 0.25', ' ""calico-node-qwfqp"": 29.56}""']"
1780892104.8863065,node-1,1.6,"{dns-autoscaler-6d5984c657-bp2dz"": 0.31}""",
1780892105.0581965,node-0,31.5,"{worker-3029b453646555d8-ff967d94d-ms28l"": 0.25","[' ""worker-e6c7bb410627e9eb-64d9bd9f5c-dhsr4"": 0.18', ' ""orchestrator-d57c497c-mdhww"": 0.25', ' ""worker-f7bfe5bc8d2a37a5-867f9c5dc4-kndms"": 0.24', ' ""worker-1661c8faccd5c7ce-659c56686-7b6mr"": 0.13}""']"
1780892105.861137,node-2,1.1,"{worker-a25e2d58c503c1a3-6b7dcf657c-26pjr"": 0.12","[' ""calico-kube-controllers-5b566ffb7d-sq4sz"": 3.83}""']"
1780892106.0042248,node-1,1.8,"{speaker-bfj68"": 15.41","[' ""worker-7d37cefc5c5fd0c8-6b79db6dc-sl9v6"": 0.14', ' ""worker-68d84244f6a3c212-6f4ffb97f9-czjf6"": 0.22}""']"
1780892106.1798024,node-0,30.7,"{worker-641f0f86d3d9f681-8c686f65f-zvgcj"": 0.16","[' ""worker-d399b29c39aafde6-5b9cd56bc-t9265"": 0.11', ' ""worker-51dbc1cbb708f14d-59f44787cd-xt4j7"": 0.17', ' ""worker-85479ef37b5dc75d-576f4bd87-qz7qw"": 72.36', ' ""kube-controller-manager-node-0"": 1.72}""']"
1780892106.9808228,node-2,1.1,"{worker-fc4cdb6f79037e08-6b8669f4f9-wl5ks"": 0.25","[' ""worker-ea65064e04faf35c-6496cf979b-9t4bk"": 0.19', ' ""worker-7aa2508882a841c9-7945474ff8-slhwr"": 0.23', ' ""worker-62ed48c098820db0-79687cb8b9-sphl8"": 0.23', ' ""worker-a594f92f84072b4c-56b47dfdfd-q2czh"": 0.15}""']"
1780892107.117941,node-1,2.3,"{worker-220343d206dfebda-678b78775-dq6xl"": 0.17","[' ""worker-8fccbc5264ff823b-6c775df4fb-6n9ts"": 0.18', ' ""worker-80ba614b065a6836-65dfb8499b-fxsgr"": 0.2', ' ""worker-71fab9125e9dc96c-6f5bd7bbd6-xrjwb"": 0.15}""']"
1780892107.29693,node-0,32.7,"{worker-a9644719e5d173a2-74cc9cf98b-rb65q"": 0.18","[' ""worker-efa202d17ba66651-65c54d6d76-75czz"": 0.18', ' ""worker-93b7777259b0d610-5c897f5846-f96zz"": 0.11}""']"
1780892108.1061363,node-2,1.9,"{worker-34bebca9cd2c3d5c-6dd474884d-g8rcv"": 0.2","[' ""controller-666f99f6ff-gqnn8"": 3.5', ' ""nginx-proxy-node-2"": 0.27}""']"
