timestamp,node,cpu_pct,mem_used_mb,mem_total_mb,mem_pct,load1,load5,load15
1780303828.2770073,node-0,0.55,3589.6,257840.9,1.4,0.634,0.839,0.708
1780303828.9159927,node-1,0.42,3797.6,257840.9,1.5,0.751,6.763,7.646
1780303829.1358273,node-2,1.15,3316.9,257840.9,1.3,0.804,3.313,3.195
1780303829.2793953,node-0,0.6,3591.1,257840.9,1.4,0.634,0.839,0.708
1780303829.9183288,node-1,0.27,3796.9,257840.9,1.5,0.851,6.684,7.615
1780303830.138248,node-2,0.28,3315.9,257840.9,1.3,0.74,3.258,3.178
1780303830.2818227,node-0,0.38,3595.2,257840.9,1.4,0.744,0.859,0.715
1780303830.9205213,node-1,0.5,3789.8,257840.9,1.5,0.851,6.684,7.615
1780303831.1406198,node-2,0.12,3315.1,257840.9,1.3,0.74,3.258,3.178
1780303831.2842839,node-0,0.62,3596.3,257840.9,1.4,0.744,0.859,0.715
1780303831.9219797,node-1,0.72,3787.4,257840.9,1.5,0.851,6.684,7.615
1780303832.142864,node-2,0.45,3317.2,257840.9,1.3,0.74,3.258,3.178
1780303832.2866337,node-0,0.1,3596.3,257840.9,1.4,0.744,0.859,0.715
1780303832.9238884,node-1,0.5,3785.6,257840.9,1.5,0.851,6.684,7.615
1780303833.1451733,node-2,0.3,3316.6,257840.9,1.3,0.74,3.258,3.178
1780303833.2888541,node-0,0.42,3595.9,257840.9,1.4,0.744,0.859,0.715
1780303833.9260097,node-1,0.27,3785.3,257840.9,1.5,0.851,6.684,7.615
1780303834.1475966,node-2,0.5,3316.6,257840.9,1.3,0.74,3.258,3.178
1780303834.2910182,node-0,0.57,3594.9,257840.9,1.4,0.744,0.859,0.715
1780303834.9279068,node-1,0.65,3781.4,257840.9,1.5,0.783,6.573,7.574
1780303835.1498122,node-2,0.2,3315.6,257840.9,1.3,0.68,3.204,3.161
1780303835.293356,node-0,0.47,3594.8,257840.9,1.4,0.684,0.844,0.711
1780303835.930228,node-1,0.37,3783.8,257840.9,1.5,0.783,6.573,7.574
